name,linkedin_url,website,geography,industry,employees_on_linkedin,companyId
IDE Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=921746,http://www.ideinc.com,San Francisco Bay Area,Design,8 employees on LinkedIn,921746
"Creative Design Network, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=261880,http://cdn-inc.com,Greater Milwaukee Area,Mechanical or Industrial Engineering,8 employees on LinkedIn,261880
Taipei Design Center U.S.,https://www.linkedin.com/sales/accounts/insights?companyId=1195422,http://www.tdcus.com,San Francisco Bay Area,Design,5 employees on LinkedIn,1195422
Bazza Design,https://www.linkedin.com/sales/accounts/insights?companyId=2122501,http://www.bazzadesign.com,"Greater Grand Rapids, Michigan Area",Design,4 employees on LinkedIn,2122501
Vertex Product Development Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=1124458,http://www.vertexpd.com,Greater New York City Area,Design,2 employees on LinkedIn,1124458
"CB Design, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2370836,http://www.cbdesinc.com,,Design,4 employees on LinkedIn,2370836
"FlatHED, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=672525,http://www.flathed.com,"Portland, Oregon Area",Design,3 employees on LinkedIn,672525
"Form Factory, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=268434,http://www.formfactoryinc.com,"Portland, Oregon Area",Design,10 employees on LinkedIn,268434
Alex Design,https://www.linkedin.com/sales/accounts/insights?companyId=1745764,http://www.alexrobertsdesign.com,,Design,8 employees on LinkedIn,1745764
"SnS Design, Inc",https://www.linkedin.com/sales/accounts/insights?companyId=10627492,http://www.snsdesign.com,Greater New York City Area,Design,10 employees on LinkedIn,10627492
Taylor Boswell,https://www.linkedin.com/sales/accounts/insights?companyId=2020069,http://www.taylorboswell.co.uk,"Fayetteville, Arkansas Area",Design,3 employees on LinkedIn,2020069
Bigshot Toyworks,https://www.linkedin.com/sales/accounts/insights?companyId=879126,http://www.bigshottoyworks.com,United States,Design,3 employees on LinkedIn,879126
deepLABS,https://www.linkedin.com/sales/accounts/insights?companyId=2578141,http://www.deeplabs.com,Greater Chicago Area,Design,1 employees on LinkedIn,2578141
NORDEN German Design Studio,https://www.linkedin.com/sales/accounts/insights?companyId=3311527,http://norden-design.com/,"Urbana-Champaign, Illinois Area",Design,4 employees on LinkedIn,3311527
"Bambootility Media, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=2321194,http://www.bambootility.com/,"Orlando, Florida Area",Mechanical or Industrial Engineering,1 employees on LinkedIn,2321194
Io Design,https://www.linkedin.com/sales/accounts/insights?companyId=1132679,http://io-id.com,San Francisco Bay Area,Design,4 employees on LinkedIn,1132679
"Distoric Design Group, LLC.",https://www.linkedin.com/sales/accounts/insights?companyId=440944,http://www.distoric.com,"Phoenix, Arizona Area",Design,1 employees on LinkedIn,440944
Kroll Associates,https://www.linkedin.com/sales/accounts/insights?companyId=882681,http://www.krollassoc.com,"Springfield, Massachusetts Area",Design,11 employees on LinkedIn,882681
"Impressive Prototypes, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=339677,http://www.impressiveprototypes.com,"Indianapolis, Indiana Area",Design,7 employees on LinkedIn,339677
Standard Issue,https://www.linkedin.com/sales/accounts/insights?companyId=10404029,http://standardissuedesign.com/,Greater New York City Area,Design,13 employees on LinkedIn,10404029
"Atus Design, LLC.",https://www.linkedin.com/sales/accounts/insights?companyId=695107,http://www.atusdesign.com,Greater New York City Area,Design,4 employees on LinkedIn,695107
"Logue Studio Design, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2079898,http://www.loguestudiodesign.com,San Francisco Bay Area,Design,2 employees on LinkedIn,2079898
Lyons/Zaremba Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=610491,http://www.lyonszaremba.com,Greater Boston Area,Design,7 employees on LinkedIn,610491
