id,name,linkedin_url,website,geography,industry,company_headcount,employees_on_linkedin,companyId
124,"Del Monte Foods, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=3632035,http://www.delmontefoods.com,San Francisco Bay Area,Food,5001-10000,"1,037 employees on LinkedIn",3632035
125,Cycling Sports Group,https://www.linkedin.com/sales/accounts/insights?companyId=460175,http://www.dorelsports.com/careers/,Greater New York City Area,Sporting Goods,501-1000,348 employees on LinkedIn,460175
126,Craft Brew Alliance,https://www.linkedin.com/sales/accounts/insights?companyId=528527,http://www.craftbrew.com,"Portland, Oregon Area",Food,501-1000,381 employees on LinkedIn,528527
127,sweetgreen,https://www.linkedin.com/sales/accounts/insights?companyId=698150,http://www.sweetgreen.com,United States,Food,1001-5000,619 employees on LinkedIn,698150
128,Pearl Izumi,https://www.linkedin.com/sales/accounts/insights?companyId=6211,http://www.pearlizumi.com,Greater Denver Area,Sporting Goods,201-500,195 employees on LinkedIn,6211
129,PCH International,https://www.linkedin.com/sales/accounts/insights?companyId=60061,http://www.pchintl.com,San Francisco Bay Area,Consumer Electronics,501-1000,387 employees on LinkedIn,60061
130,Borden Dairy Company,https://www.linkedin.com/sales/accounts/insights?companyId=1120167,http://www.bordendairy.com,Dallas/Fort Worth Area,Food,1001-5000,794 employees on LinkedIn,1120167
131,Post Holdings,https://www.linkedin.com/sales/accounts/insights?companyId=3651927,http://www.postholdings.com,Greater St. Louis Area,Food,10001,500 employees on LinkedIn,3651927
132,Food Services of America,https://www.linkedin.com/sales/accounts/insights?companyId=18368,http://www.fsafood.com,"Phoenix, Arizona Area",Food,1001-5000,"1,804 employees on LinkedIn",18368
133,Snap Kitchen,https://www.linkedin.com/sales/accounts/insights?companyId=661938,http://www.snapkitchen.com,"Austin, Texas Area",Food,501-1000,246 employees on LinkedIn,661938
134,HP Hood LLC,https://www.linkedin.com/sales/accounts/insights?companyId=164228,http://www.hphood.com,United States,Food,1001-5000,"1,088 employees on LinkedIn",164228
135,Unidine,https://www.linkedin.com/sales/accounts/insights?companyId=41569,http://www.unidine.com,Greater Boston Area,Food,1001-5000,866 employees on LinkedIn,41569
136,Deschutes Brewery,https://www.linkedin.com/sales/accounts/insights?companyId=889926,http://www.deschutesbrewery.com,"Bend, Oregon Area",Food,201-500,265 employees on LinkedIn,889926
137,FreshDirect,https://www.linkedin.com/sales/accounts/insights?companyId=15241,http://www.freshdirect.com,Greater New York City Area,Food,1001-5000,745 employees on LinkedIn,15241
138,BRG Sports,https://www.linkedin.com/sales/accounts/insights?companyId=17671,http://www.brgsports.com,San Francisco Bay Area,Sporting Goods,1001-5000,327 employees on LinkedIn,17671
139,Ring,https://www.linkedin.com/sales/accounts/insights?companyId=4787585,http://www.ring.com,Greater Los Angeles Area,Consumer Electronics,1001-5000,746 employees on LinkedIn,4787585
140,Harpoon Brewery,https://www.linkedin.com/sales/accounts/insights?companyId=36106,http://www.harpoonbrewery.com,Greater Boston Area,Food,201-500,189 employees on LinkedIn,36106
141,Blue Bottle Coffee,https://www.linkedin.com/sales/accounts/insights?companyId=2035128,http://www.bluebottlecoffee.com,San Francisco Bay Area,Food,501-1000,340 employees on LinkedIn,2035128
142,Sony Electronics Professional Solutions Americas,https://www.linkedin.com/sales/accounts/insights?companyId=2531011,http://www.sony.com/professional,Greater New York City Area,Consumer Electronics,1001-5000,169 employees on LinkedIn,2531011
143,Reyes Holdings,https://www.linkedin.com/sales/accounts/insights?companyId=38046,http://www.reyesholdings.com/,Greater Chicago Area,Food,10001,746 employees on LinkedIn,38046
144,Harry,https://www.linkedin.com/sales/accounts/insights?companyId=13095,http://www.HarryandDavid.com,"Medford, Oregon Area",Food,5001-10000,"1,105 employees on LinkedIn",13095
145,Frutarom,https://www.linkedin.com/sales/accounts/insights?companyId=31188,http://www.frutarom.com,United States,Food,1001-5000,906 employees on LinkedIn,31188
146,SmartThings,https://www.linkedin.com/sales/accounts/insights?companyId=2686346,http://www.smartthings.com,San Francisco Bay Area,Consumer Electronics,201-500,270 employees on LinkedIn,2686346
147,Cooper's Hawk Winery and Restaurants,https://www.linkedin.com/sales/accounts/insights?companyId=1373114,http://www.coopershawkwinery.com,Greater Chicago Area,Food,1001-5000,"1,023 employees on LinkedIn",1373114
148,Santa Cruz Bicycles,https://www.linkedin.com/sales/accounts/insights?companyId=106424,http://santacruzbicycles.com,San Francisco Bay Area,Sporting Goods,201-500,146 employees on LinkedIn,106424
149,Stumptown Coffee Roasters,https://www.linkedin.com/sales/accounts/insights?companyId=123460,http://www.stumptowncoffee.com,"Portland, Oregon Area",Food,201-500,205 employees on LinkedIn,123460
150,Bowers,https://www.linkedin.com/sales/accounts/insights?companyId=899421,http://www.bowers-wilkins.com,San Francisco Bay Area,Consumer Electronics,501-1000,335 employees on LinkedIn,899421
151,Simmons Foods,https://www.linkedin.com/sales/accounts/insights?companyId=108204,http://simmonsfoods.com,"Fayetteville, Arkansas Area",Food,5001-10000,"1,224 employees on LinkedIn",108204
152,Smith Optics,https://www.linkedin.com/sales/accounts/insights?companyId=451565,http://www.smithoptics.com/,"Boise, Idaho Area",Sporting Goods,201-500,274 employees on LinkedIn,451565
153,Road Runner Sports,https://www.linkedin.com/sales/accounts/insights?companyId=18592,http://www.roadrunnersports.com,Greater San Diego Area,Sporting Goods,501-1000,565 employees on LinkedIn,18592
154,BUNN,https://www.linkedin.com/sales/accounts/insights?companyId=79677,http://www.bunn.com,"Springfield, Illinois Area",Food,201-500,754 employees on LinkedIn,79677
155,Dutch Bros Coffee,https://www.linkedin.com/sales/accounts/insights?companyId=1830653,http://www.dutchbros.com,"Medford, Oregon Area",Food,1001-5000,"1,242 employees on LinkedIn",1830653
156,Gordon Food Service - Canada,https://www.linkedin.com/sales/accounts/insights?companyId=981938,http://www.gfs.ca,"Greater Grand Rapids, Michigan Area",Food,10001,733 employees on LinkedIn,981938
157,Bolthouse Farms,https://www.linkedin.com/sales/accounts/insights?companyId=41854,http://bolthouse.com,"Bakersfield, California Area",Food,1001-5000,602 employees on LinkedIn,41854
158,North Sails,https://www.linkedin.com/sales/accounts/insights?companyId=30945,http://www.northsails.com/,"Providence, Rhode Island Area",Sporting Goods,1001-5000,660 employees on LinkedIn,30945
159,Guckenheimer,https://www.linkedin.com/sales/accounts/insights?companyId=24778,http://www.guckenheimer.com,United States,Food,1001-5000,972 employees on LinkedIn,24778
160,"North American Breweries, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=821891,http://www.nabreweries.com,"Rochester, New York Area",Food,1001-5000,381 employees on LinkedIn,821891
